"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"North Macedonia (MK)","03.01.2016 13:00 - 03.01.2016 14:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 14:00 - 03.01.2016 15:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 15:00 - 03.01.2016 16:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 16:00 - 03.01.2016 17:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 17:00 - 03.01.2016 18:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 18:00 - 03.01.2016 19:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 19:00 - 03.01.2016 20:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 20:00 - 03.01.2016 21:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 21:00 - 03.01.2016 22:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 22:00 - 03.01.2016 23:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","03.01.2016 23:00 - 04.01.2016 00:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 00:00 - 04.01.2016 01:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 01:00 - 04.01.2016 02:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 02:00 - 04.01.2016 03:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 03:00 - 04.01.2016 04:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 04:00 - 04.01.2016 05:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 05:00 - 04.01.2016 06:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 06:00 - 04.01.2016 07:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 07:00 - 04.01.2016 08:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 08:00 - 04.01.2016 09:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 09:00 - 04.01.2016 10:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 10:00 - 04.01.2016 11:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 11:00 - 04.01.2016 12:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 12:00 - 04.01.2016 13:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 13:00 - 04.01.2016 14:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 14:00 - 04.01.2016 15:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 15:00 - 04.01.2016 16:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 16:00 - 04.01.2016 17:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 17:00 - 04.01.2016 18:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 18:00 - 04.01.2016 19:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 19:00 - 04.01.2016 20:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 20:00 - 04.01.2016 21:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 21:00 - 04.01.2016 22:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 22:00 - 04.01.2016 23:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","04.01.2016 23:00 - 05.01.2016 00:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 00:00 - 05.01.2016 01:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 01:00 - 05.01.2016 02:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 02:00 - 05.01.2016 03:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 03:00 - 05.01.2016 04:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 04:00 - 05.01.2016 05:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 05:00 - 05.01.2016 06:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 06:00 - 05.01.2016 07:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 07:00 - 05.01.2016 08:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 08:00 - 05.01.2016 09:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 09:00 - 05.01.2016 10:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 10:00 - 05.01.2016 11:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 11:00 - 05.01.2016 12:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 12:00 - 05.01.2016 13:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 13:00 - 05.01.2016 14:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 14:00 - 05.01.2016 15:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 15:00 - 05.01.2016 16:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 16:00 - 05.01.2016 17:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 17:00 - 05.01.2016 18:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 18:00 - 05.01.2016 19:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 19:00 - 05.01.2016 20:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 20:00 - 05.01.2016 21:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 21:00 - 05.01.2016 22:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","05.01.2016 22:00 - 05.01.2016 23:00 (UTC)","n/e","n/e"
